시도,시군구,기관명,부서,전화,팩스,주소,비고
부산광역시,서구,부산광역시 서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,동구,부산광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,영도구,부산광역시 영도구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,부산진구,부산광역시 부산진구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,동래구,부산광역시 동래구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,남구,부산광역시 남구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,북구,부산광역시 북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,해운대구,부산광역시 해운대구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,사하구,부산광역시 사하구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,금정구,부산광역시 금정구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,강서구,부산광역시 강서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,연제구,부산광역시 연제구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,수영구,부산광역시 수영구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,사상구,부산광역시 사상구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
부산광역시,기장군,부산광역시 기장군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,중구,대구광역시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,동구,대구광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,서구,대구광역시 서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,남구,대구광역시 남구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,북구,대구광역시 북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,수성구,대구광역시 수성구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,달서구,대구광역시 달서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,달성군,대구광역시 달성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대구광역시,군위군,대구광역시 군위군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,중구,인천광역시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,동구,인천광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,미추홀구,인천광역시 미추홀구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,연수구,인천광역시 연수구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,남동구,인천광역시 남동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,부평구,인천광역시 부평구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,계양구,인천광역시 계양구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,서구,인천광역시 서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,강화군,인천광역시 강화군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
인천광역시,옹진군,인천광역시 옹진군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
광주광역시,동구,광주광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
광주광역시,서구,광주광역시 서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
광주광역시,남구,광주광역시 남구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
광주광역시,북구,광주광역시 북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
광주광역시,광산구,광주광역시 광산구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대전광역시,동구,대전광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대전광역시,중구,대전광역시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대전광역시,서구,대전광역시 서구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대전광역시,유성구,대전광역시 유성구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
대전광역시,대덕구,대전광역시 대덕구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
울산광역시,중구,울산광역시 중구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
울산광역시,남구,울산광역시 남구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
울산광역시,동구,울산광역시 동구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
울산광역시,북구,울산광역시 북구청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
울산광역시,울주군,울산광역시 울주군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
세종특별자치시,세종특별자치시,세종특별자치시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,수원시,경기도 수원시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,성남시,경기도 성남시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,의정부시,경기도 의정부시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,안양시,경기도 안양시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,부천시,경기도 부천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,광명시,경기도 광명시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,평택시,경기도 평택시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,동두천시,경기도 동두천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,안산시,경기도 안산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,고양시,경기도 고양시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,과천시,경기도 과천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,구리시,경기도 구리시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,남양주시,경기도 남양주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,오산시,경기도 오산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,시흥시,경기도 시흥시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,군포시,경기도 군포시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,의왕시,경기도 의왕시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,하남시,경기도 하남시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,용인시,경기도 용인시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,파주시,경기도 파주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,이천시,경기도 이천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,안성시,경기도 안성시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,김포시,경기도 김포시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,화성시,경기도 화성시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,광주시,경기도 광주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,양주시,경기도 양주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,포천시,경기도 포천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,여주시,경기도 여주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,연천군,경기도 연천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,가평군,경기도 가평군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경기도,양평군,경기도 양평군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,춘천시,강원특별자치도 춘천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,원주시,강원특별자치도 원주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,강릉시,강원특별자치도 강릉시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,동해시,강원특별자치도 동해시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,태백시,강원특별자치도 태백시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,속초시,강원특별자치도 속초시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,삼척시,강원특별자치도 삼척시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,홍천군,강원특별자치도 홍천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,횡성군,강원특별자치도 횡성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,영월군,강원특별자치도 영월군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,평창군,강원특별자치도 평창군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,정선군,강원특별자치도 정선군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,철원군,강원특별자치도 철원군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,화천군,강원특별자치도 화천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,양구군,강원특별자치도 양구군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,인제군,강원특별자치도 인제군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,고성군,강원특별자치도 고성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
강원특별자치도,양양군,강원특별자치도 양양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,청주시,충청북도 청주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,충주시,충청북도 충주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,제천시,충청북도 제천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,보은군,충청북도 보은군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,옥천군,충청북도 옥천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,영동군,충청북도 영동군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,증평군,충청북도 증평군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,진천군,충청북도 진천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,괴산군,충청북도 괴산군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,음성군,충청북도 음성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청북도,단양군,충청북도 단양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,천안시,충청남도 천안시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,공주시,충청남도 공주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,보령시,충청남도 보령시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,아산시,충청남도 아산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,서산시,충청남도 서산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,논산시,충청남도 논산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,계룡시,충청남도 계룡시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,당진시,충청남도 당진시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,금산군,충청남도 금산군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,부여군,충청남도 부여군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,서천군,충청남도 서천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,청양군,충청남도 청양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,홍성군,충청남도 홍성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,예산군,충청남도 예산군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
충청남도,태안군,충청남도 태안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,전주시,전북특별자치도 전주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,군산시,전북특별자치도 군산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,익산시,전북특별자치도 익산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,정읍시,전북특별자치도 정읍시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,남원시,전북특별자치도 남원시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,김제시,전북특별자치도 김제시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,완주군,전북특별자치도 완주군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,진안군,전북특별자치도 진안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,무주군,전북특별자치도 무주군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,장수군,전북특별자치도 장수군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,임실군,전북특별자치도 임실군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,순창군,전북특별자치도 순창군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,고창군,전북특별자치도 고창군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전북특별자치도,부안군,전북특별자치도 부안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,목포시,전라남도 목포시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,여수시,전라남도 여수시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,순천시,전라남도 순천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,나주시,전라남도 나주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,광양시,전라남도 광양시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,담양군,전라남도 담양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,곡성군,전라남도 곡성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,구례군,전라남도 구례군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,고흥군,전라남도 고흥군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,보성군,전라남도 보성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,화순군,전라남도 화순군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,장흥군,전라남도 장흥군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,강진군,전라남도 강진군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,해남군,전라남도 해남군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,영암군,전라남도 영암군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,무안군,전라남도 무안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,함평군,전라남도 함평군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,영광군,전라남도 영광군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,장성군,전라남도 장성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,완도군,전라남도 완도군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,진도군,전라남도 진도군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
전라남도,신안군,전라남도 신안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,포항시,경상북도 포항시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,경주시,경상북도 경주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,김천시,경상북도 김천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,안동시,경상북도 안동시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,구미시,경상북도 구미시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,영주시,경상북도 영주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,영천시,경상북도 영천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,상주시,경상북도 상주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,문경시,경상북도 문경시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,경산시,경상북도 경산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,의성군,경상북도 의성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,청송군,경상북도 청송군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,영양군,경상북도 영양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,영덕군,경상북도 영덕군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,청도군,경상북도 청도군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,고령군,경상북도 고령군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,성주군,경상북도 성주군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,칠곡군,경상북도 칠곡군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,예천군,경상북도 예천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,봉화군,경상북도 봉화군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,울진군,경상북도 울진군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상북도,울릉군,경상북도 울릉군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,창원시,경상남도 창원시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,진주시,경상남도 진주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,통영시,경상남도 통영시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,사천시,경상남도 사천시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,김해시,경상남도 김해시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,밀양시,경상남도 밀양시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,거제시,경상남도 거제시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,양산시,경상남도 양산시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,의령군,경상남도 의령군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,함안군,경상남도 함안군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,창녕군,경상남도 창녕군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,고성군,경상남도 고성군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,남해군,경상남도 남해군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,하동군,경상남도 하동군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,산청군,경상남도 산청군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,함양군,경상남도 함양군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,거창군,경상남도 거창군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
경상남도,합천군,경상남도 합천군청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
제주특별자치도,제주시,제주특별자치도 제주시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
제주특별자치도,서귀포시,제주특별자치도 서귀포시청,복지정책과,,,,의료급여(기초) 요양비 등기 접수
